Manin00g000010.1	IPR036610	PEBP-like superfamily
Manin05g005990.1	IPR001278	Arginine-tRNA ligase
Manin05g005990.1	IPR005148	Arginyl tRNA synthetase N-terminal domain
Manin05g005990.1	IPR008909	DALR anticodon binding
Manin05g005990.1	IPR009080	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding
Manin05g005990.1	IPR035684	Arginyl-tRNA synthetase, catalytic core domain
Manin05g005990.1	IPR036695	Arginyl tRNA synthetase N-terminal domain superfamily
Manin05g006000.1	IPR000357	HEAT repeat
Manin05g006000.1	IPR000719	Protein kinase domain
Manin05g006000.1	IPR001680	WD40 repeat
Manin05g006000.1	IPR011009	Protein kinase-like domain superfamily
Manin05g006000.1	IPR016024	Armadillo-type fold
Manin05g006000.1	IPR036322	WD40-repeat-containing domain superfamily
Manin05g006010.1	IPR003137	PA domain
Manin05g006010.1	IPR007365	Transferrin receptor-like, dimerisation domain
Manin05g006010.1	IPR007484	Peptidase M28
Manin05g006010.1	IPR036757	Transferrin receptor-like, dimerisation domain superfamily
Manin05g006020.1	IPR000070	Pectinesterase, catalytic
Manin05g006020.1	IPR011050	Pectin lyase fold/virulence factor
Manin05g006030.1	IPR000048	IQ motif, EF-hand binding site
Manin05g006030.1	IPR025064	Domain of unknown function DUF4005
Manin05g006030.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin05g006040.1	IPR002528	Multi antimicrobial extrusion protein
Manin05g006060.1	IPR001312	Hexokinase
Manin05g006060.1	IPR022672	Hexokinase, N-terminal
Manin05g006060.1	IPR022673	Hexokinase, C-terminal
Manin05g006060.1	IPR043129	ATPase, nucleotide binding domain
Manin05g006070.1	IPR000719	Protein kinase domain
Manin05g006070.1	IPR001611	Leucine-rich repeat
Manin05g006070.1	IPR011009	Protein kinase-like domain superfamily
Manin05g006070.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin05g006080.1	IPR006115	6-phosphogluconate dehydrogenase, NADP-binding
Manin05g006080.1	IPR008927	6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily
Manin05g006080.1	IPR029154	3-hydroxyisobutyrate dehydrogenase, NAD-binding domain
Manin05g006080.1	IPR036291	NAD(P)-binding domain superfamily
Manin05g006090.1	IPR001611	Leucine-rich repeat
Manin05g006090.1	IPR006115	6-phosphogluconate dehydrogenase, NADP-binding
Manin05g006090.1	IPR008927	6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily
Manin05g006090.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin05g006090.1	IPR029154	3-hydroxyisobutyrate dehydrogenase, NAD-binding domain
Manin05g006090.1	IPR036291	NAD(P)-binding domain superfamily
Manin05g006100.1	IPR001537	tRNA/rRNA methyltransferase, SpoU type
Manin05g006100.1	IPR013123	RNA 2-O ribose methyltransferase, substrate binding
Manin05g006100.1	IPR029028	Alpha/beta knot methyltransferases
Manin05g006100.1	IPR029064	50S ribosomal protein L30e-like
Manin05g006110.1	IPR001199	Cytochrome b5-like heme/steroid binding domain
Manin05g006110.1	IPR036400	Cytochrome b5-like heme/steroid binding domain superfamily
Manin05g006120.1	IPR025993	Ceramide glucosyltransferase
Manin05g006120.1	IPR029044	Nucleotide-diphospho-sugar transferases
Manin05g006130.1	IPR033421	Rit1, DUSP-like domain
Manin05g006130.1	IPR033449	Rit1, N-terminal domain
Manin05g006140.1	IPR003439	ABC transporter-like, ATP-binding domain
Manin05g006140.1	IPR011527	ABC transporter type 1, transmembrane domain
Manin05g006140.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin05g006140.1	IPR036640	ABC transporter type 1, transmembrane domain superfamily
Manin05g006150.1	IPR008207	Signal transduction histidine kinase, phosphotransfer (Hpt) domain
Manin05g006150.1	IPR036641	HPT domain superfamily
Manin05g006160.1	IPR005123	Oxoglutarate/iron-dependent dioxygenase
Manin05g006160.1	IPR026992	Non-haem dioxygenase N-terminal domain
Manin05g006160.1	IPR044861	Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain
Manin05g006170.1	IPR012301	Malic enzyme, N-terminal domain
Manin05g006170.1	IPR012302	Malic enzyme, NAD-binding
Manin05g006170.1	IPR036291	NAD(P)-binding domain superfamily
Manin05g006180.1	IPR007855	RNA-dependent RNA polymerase, eukaryotic-type
Manin05g006190.1	IPR019177	Golgin subfamily A member 5
Manin05g006200.1	IPR001440	Tetratricopeptide repeat 1
Manin05g006200.1	IPR011990	Tetratricopeptide-like helical domain superfamily
Manin05g006200.1	IPR013105	Tetratricopeptide repeat 2
Manin05g006200.1	IPR019734	Tetratricopeptide repeat
Manin05g006210.1	IPR002885	Pentatricopeptide repeat
Manin05g006220.1	IPR004015	SKI-interacting protein SKIP, SNW domain
Manin05g006230.1	IPR002885	Pentatricopeptide repeat
Manin05g006230.1	IPR003674	Oligosaccharyl transferase, STT3 subunit
Manin05g006230.1	IPR011990	Tetratricopeptide-like helical domain superfamily
Manin05g006230.1	IPR032867	DYW domain
Manin05g006240.1	IPR001471	AP2/ERF domain
Manin05g006240.1	IPR016177	DNA-binding domain superfamily
Manin05g006250.1	IPR029058	Alpha/Beta hydrolase fold
Manin05g006250.2	IPR029058	Alpha/Beta hydrolase fold
Manin05g006260.1	IPR040911	Exostosin, GT47 domain
Manin05g006270.1	IPR001890	RNA-binding, CRM domain
Manin05g006270.1	IPR035920	YhbY-like superfamily
Manin05g006280.1	IPR003663	Sugar/inositol transporter
Manin05g006280.1	IPR005828	Major facilitator,  sugar transporter-like
Manin05g006280.1	IPR020846	Major facilitator superfamily domain
Manin05g006280.1	IPR036259	MFS transporter superfamily
Manin05g006280.2	IPR003663	Sugar/inositol transporter
Manin05g006280.2	IPR005828	Major facilitator,  sugar transporter-like
Manin05g006280.2	IPR020846	Major facilitator superfamily domain
Manin05g006280.2	IPR036259	MFS transporter superfamily
Manin05g006290.1	IPR032308	Jas TPL-binding domain
Manin05g006290.2	IPR032308	Jas TPL-binding domain
Manin05g006300.1	IPR001841	Zinc finger, RING-type
Manin05g006310.1	IPR000595	Cyclic nucleotide-binding domain
Manin05g006310.1	IPR000719	Protein kinase domain
Manin05g006310.1	IPR001932	PPM-type phosphatase domain
Manin05g006310.1	IPR011009	Protein kinase-like domain superfamily
Manin05g006310.1	IPR018490	Cyclic nucleotide-binding-like
Manin05g006310.1	IPR036457	PPM-type phosphatase domain superfamily
Manin05g006310.2	IPR000595	Cyclic nucleotide-binding domain
Manin05g006310.2	IPR000719	Protein kinase domain
Manin05g006310.2	IPR001932	PPM-type phosphatase domain
Manin05g006310.2	IPR011009	Protein kinase-like domain superfamily
Manin05g006310.2	IPR018490	Cyclic nucleotide-binding-like
Manin05g006310.2	IPR036457	PPM-type phosphatase domain superfamily
Manin05g006310.3	IPR000595	Cyclic nucleotide-binding domain
Manin05g006310.3	IPR000719	Protein kinase domain
Manin05g006310.3	IPR001932	PPM-type phosphatase domain
Manin05g006310.3	IPR011009	Protein kinase-like domain superfamily
Manin05g006310.3	IPR018490	Cyclic nucleotide-binding-like
Manin05g006310.3	IPR036457	PPM-type phosphatase domain superfamily
Manin05g006310.4	IPR000595	Cyclic nucleotide-binding domain
Manin05g006310.4	IPR000719	Protein kinase domain
Manin05g006310.4	IPR001932	PPM-type phosphatase domain
Manin05g006310.4	IPR011009	Protein kinase-like domain superfamily
Manin05g006310.4	IPR018490	Cyclic nucleotide-binding-like
Manin05g006310.4	IPR036457	PPM-type phosphatase domain superfamily
Manin05g006320.1	IPR004360	Glyoxalase/fosfomycin resistance/dioxygenase domain
Manin05g006320.1	IPR004361	Glyoxalase I
Manin05g006320.1	IPR029068	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase
Manin05g006320.1	IPR037523	Vicinal oxygen chelate (VOC) domain
Manin05g006330.1	IPR010675	RNA methyltransferase bin3, C-terminal
Manin05g006330.1	IPR024160	Bin3-type S-adenosyl-L-methionine binding domain
Manin05g006330.1	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
Manin05g006340.1	IPR000719	Protein kinase domain
Manin05g006340.1	IPR011009	Protein kinase-like domain superfamily
Manin05g006350.1	IPR009880	Glyoxal oxidase, N-terminal
Manin05g006350.1	IPR011043	Galactose oxidase/kelch, beta-propeller
Manin05g006350.1	IPR014756	Immunoglobulin E-set
Manin05g006350.1	IPR015202	Galactose oxidase-like, Early set domain
Manin05g006360.1	IPR018908	Putative transmembrane family 234
Manin05g006370.1	IPR000757	Glycoside hydrolase family 16
Manin05g006370.1	IPR010713	Xyloglucan endo-transglycosylase, C-terminal
Manin05g006370.1	IPR013320	Concanavalin A-like lectin/glucanase domain superfamily
Manin05g006380.1	IPR009880	Glyoxal oxidase, N-terminal
Manin05g006400.1	IPR001816	Translation elongation factor EFTs/EF1B
Manin05g006400.1	IPR003029	S1 domain
Manin05g006400.1	IPR009060	UBA-like superfamily
Manin05g006400.1	IPR012340	Nucleic acid-binding, OB-fold
Manin05g006400.1	IPR014039	Translation elongation factor EFTs/EF1B, dimerisation
Manin05g006400.1	IPR036402	Elongation factor Ts, dimerisation domain superfamily
Manin05g006420.1	IPR000783	RNA polymerase, subunit H/Rpb5 C-terminal
Manin05g006420.1	IPR005571	RNA polymerase, Rpb5, N-terminal
Manin05g006420.1	IPR035913	RPB5-like RNA polymerase subunit superfamily
Manin05g006420.1	IPR036710	RNA polymerase Rpb5, N-terminal domain superfamily
Manin05g006420.2	IPR000783	RNA polymerase, subunit H/Rpb5 C-terminal
Manin05g006420.2	IPR005571	RNA polymerase, Rpb5, N-terminal
Manin05g006420.2	IPR035913	RPB5-like RNA polymerase subunit superfamily
Manin05g006420.2	IPR036710	RNA polymerase Rpb5, N-terminal domain superfamily
Manin05g006430.1	IPR023753	FAD/NAD(P)-binding domain
Manin05g006440.1	IPR000109	Proton-dependent oligopeptide transporter family
Manin05g006440.1	IPR001680	WD40 repeat
Manin05g006440.1	IPR003613	U-box domain
Manin05g006440.1	IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
Manin05g006440.1	IPR016024	Armadillo-type fold
Manin05g006440.1	IPR036259	MFS transporter superfamily
Manin05g006440.1	IPR036322	WD40-repeat-containing domain superfamily
Manin05g006440.1	IPR036638	Helix-loop-helix DNA-binding domain superfamily
Manin05g006450.1	IPR000109	Proton-dependent oligopeptide transporter family
Manin05g006450.1	IPR036259	MFS transporter superfamily
Manin05g006460.1	IPR013740	Redoxin
Manin05g006460.1	IPR013766	Thioredoxin domain
Manin05g006460.1	IPR036249	Thioredoxin-like superfamily
Manin05g006470.1	IPR001806	Small GTPase
Manin05g006470.1	IPR005225	Small GTP-binding protein domain
Manin05g006470.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin05g006480.1	IPR000719	Protein kinase domain
Manin05g006480.1	IPR011009	Protein kinase-like domain superfamily
Manin05g006490.1	IPR003663	Sugar/inositol transporter
Manin05g006490.1	IPR005828	Major facilitator,  sugar transporter-like
Manin05g006490.1	IPR020846	Major facilitator superfamily domain
Manin05g006490.1	IPR036259	MFS transporter superfamily
Manin05g006500.1	IPR001876	Zinc finger, RanBP2-type
Manin05g006500.1	IPR036443	Zinc finger, RanBP2-type superfamily
Manin05g006510.1	IPR005172	CRC domain
Manin05g006520.1	IPR002885	Pentatricopeptide repeat
Manin05g006520.1	IPR004839	Aminotransferase, class I/classII
Manin05g006520.1	IPR015424	Pyridoxal phosphate-dependent transferase
Manin05g006520.1	IPR031595	Protein-only RNase P, C-terminal
Manin05g006520.1	IPR033443	Pentacotripeptide-repeat region of PRORP
Manin05g006530.1	IPR005512	PRONE domain
Manin05g006540.1	IPR001932	PPM-type phosphatase domain
Manin05g006540.1	IPR036457	PPM-type phosphatase domain superfamily
Manin05g006550.1	IPR007462	Protein CONTINUOUS VASCULAR RING 1-like
Manin05g006570.1	IPR000223	Peptidase S26A, signal peptidase I
Manin05g006570.1	IPR002885	Pentatricopeptide repeat
Manin05g006570.1	IPR019533	Peptidase S26
Manin05g006570.1	IPR036286	LexA/Signal peptidase-like superfamily
Manin05g006580.1	IPR007248	Mpv17/PMP22
Manin05g006590.1	IPR011063	tRNA(Ile)-lysidine/2-thiocytidine synthase, N-terminal
Manin05g006590.1	IPR012795	tRNA(Ile)-lysidine synthase, N-terminal
Manin05g006600.1	IPR000209	Peptidase S8/S53 domain
Manin05g006600.1	IPR036852	Peptidase S8/S53 domain superfamily
Manin05g006610.1	IPR000719	Protein kinase domain
Manin05g006610.1	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
Manin05g006610.1	IPR011009	Protein kinase-like domain superfamily
Manin05g006620.1	IPR002347	Short-chain dehydrogenase/reductase SDR
Manin05g006620.1	IPR036291	NAD(P)-binding domain superfamily
Manin05g006630.1	IPR002110	Ankyrin repeat
Manin05g006630.1	IPR003959	ATPase, AAA-type, core
Manin05g006630.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin05g006630.1	IPR036770	Ankyrin repeat-containing domain superfamily
Manin05g006650.1	IPR003663	Sugar/inositol transporter
Manin05g006650.1	IPR005828	Major facilitator,  sugar transporter-like
Manin05g006650.1	IPR020846	Major facilitator superfamily domain
Manin05g006650.1	IPR036259	MFS transporter superfamily
Manin05g006660.1	IPR006458	Ovate  protein family, C-terminal
Manin05g006670.1	IPR020946	Flavin monooxygenase-like
Manin05g006670.1	IPR036188	FAD/NAD(P)-binding domain superfamily
Manin05g006680.1	IPR000232	Heat shock factor (HSF)-type, DNA-binding
Manin05g006680.1	IPR036390	Winged helix DNA-binding domain superfamily
Manin05g006690.1	IPR001752	Kinesin motor domain
Manin05g006690.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin05g006710.1	IPR005061	Vacuolar protein sorting-associated protein Ist1
Manin05g006720.1	IPR001806	Small GTPase
Manin05g006720.1	IPR005225	Small GTP-binding protein domain
Manin05g006720.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin05g006730.1	IPR004864	Late embryogenesis abundant protein, LEA_2 subgroup
Manin05g006750.1	IPR012474	Frigida-like
Manin05g006760.1	IPR015590	Aldehyde dehydrogenase domain
Manin05g006760.1	IPR016161	Aldehyde/histidinol dehydrogenase
Manin05g006770.1	IPR001387	Cro/C1-type helix-turn-helix domain
Manin05g006770.1	IPR010982	Lambda repressor-like, DNA-binding domain superfamily
Manin05g006770.1	IPR013729	Multiprotein bridging factor 1, N-terminal
Manin05g006780.1	IPR000432	DNA mismatch repair protein MutS, C-terminal
Manin05g006780.1	IPR007695	DNA mismatch repair protein MutS-like, N-terminal
Manin05g006780.1	IPR007696	DNA mismatch repair protein MutS, core
Manin05g006780.1	IPR007860	DNA mismatch repair protein MutS, connector domain
Manin05g006780.1	IPR016151	DNA mismatch repair protein MutS, N-terminal
Manin05g006780.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin05g006780.1	IPR036187	DNA mismatch repair protein MutS, core domain superfamily
Manin05g006780.1	IPR036678	MutS, connector domain superfamily
Manin05g006790.1	IPR044822	Myb/SANT-like DNA-binding domain 4
Manin05g006800.1	IPR011547	SLC26A/SulP transporter domain
Manin05g006810.1	IPR001902	SLC26A/SulP transporter
Manin05g006810.1	IPR011547	SLC26A/SulP transporter domain
Manin05g006820.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin05g006830.1	IPR001164	Arf GTPase activating protein
Manin05g006830.1	IPR037278	ARFGAP/RecO-like zinc finger
Manin05g006830.2	IPR001164	Arf GTPase activating protein
Manin05g006830.2	IPR037278	ARFGAP/RecO-like zinc finger
Manin05g006840.1	IPR007493	Protein of unknown function DUF538
Manin05g006840.1	IPR036758	At5g01610-like superfamily
Manin05g006850.1	IPR003961	Fibronectin type III
Manin05g006850.1	IPR032881	Oberon, PHD finger domain
Manin05g006850.1	IPR036116	Fibronectin type III superfamily
Manin05g006860.1	IPR000073	Alpha/beta hydrolase fold-1
Manin05g006860.1	IPR029058	Alpha/Beta hydrolase fold
Manin05g006870.1	IPR029045	ClpP/crotonase-like domain superfamily
Manin05g006870.1	IPR045004	Enoyl-CoA hydratase/isomerase domain
Manin05g006870.2	IPR029045	ClpP/crotonase-like domain superfamily
Manin05g006870.2	IPR045004	Enoyl-CoA hydratase/isomerase domain
Manin05g006870.3	IPR029045	ClpP/crotonase-like domain superfamily
Manin05g006870.3	IPR045004	Enoyl-CoA hydratase/isomerase domain
Manin05g006870.4	IPR029045	ClpP/crotonase-like domain superfamily
Manin05g006870.4	IPR045004	Enoyl-CoA hydratase/isomerase domain
Manin05g006880.1	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
Manin05g006880.1	IPR030382	SAM-dependent methyltransferase TRM5/TYW2-type
Manin05g006890.1	IPR000727	Target SNARE coiled-coil homology domain
Manin05g006890.1	IPR010989	SNARE
Manin05g006890.1	IPR021538	Syntaxin-5, N-terminal, Sly1p-binding domain
Manin05g006900.1	IPR010341	Protein of unknown function DUF936, plant
Manin05g006910.1	IPR001623	DnaJ domain
Manin05g006910.1	IPR016024	Armadillo-type fold
Manin05g006910.1	IPR025640	GYF domain 2
Manin05g006910.1	IPR036869	Chaperone J-domain superfamily
Manin05g006910.1	IPR045802	DnaJ homologue subfamily C, GRV2/DNAJC13, N-terminal domain
Manin05g006920.1	IPR002864	Acyl-ACP thioesterase
Manin05g006920.1	IPR021113	Acyl-ACP-thioesterase, N-terminal
Manin05g006920.1	IPR029069	HotDog domain superfamily
Manin05g006920.2	IPR002864	Acyl-ACP thioesterase
Manin05g006920.2	IPR021113	Acyl-ACP-thioesterase, N-terminal
Manin05g006920.2	IPR029069	HotDog domain superfamily
Manin05g006930.1	IPR002554	Protein phosphatase 2A, regulatory B subunit, B56
Manin05g006930.1	IPR016024	Armadillo-type fold
Manin05g006930.2	IPR002554	Protein phosphatase 2A, regulatory B subunit, B56
Manin05g006930.2	IPR016024	Armadillo-type fold
Manin05g006940.1	IPR002794	Protein of unknown function DUF92, TMEM19
Manin05g006950.1	IPR003439	ABC transporter-like, ATP-binding domain
Manin05g006950.1	IPR013525	ABC-2 type transporter
Manin05g006950.1	IPR013581	Plant PDR ABC transporter associated
Manin05g006950.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin05g006950.1	IPR029481	ABC-transporter, N-terminal domain
Manin05g006950.1	IPR043926	ABC transporter family G domain
Manin05g006960.1	IPR001680	WD40 repeat
Manin05g006960.1	IPR006594	LIS1 homology motif
Manin05g006960.1	IPR036322	WD40-repeat-containing domain superfamily
Manin05g006970.1	IPR000719	Protein kinase domain
Manin05g006970.1	IPR001611	Leucine-rich repeat
Manin05g006970.1	IPR011009	Protein kinase-like domain superfamily
Manin05g006970.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin05g006980.1	IPR002885	Pentatricopeptide repeat
Manin05g006990.1	IPR006447	Myb domain, plants
Manin05g006990.1	IPR009057	Homeobox-like domain superfamily
Manin05g006990.1	IPR017930	Myb domain
Manin05g007000.1	IPR000504	RNA recognition motif domain
Manin05g007000.1	IPR035979	RNA-binding domain superfamily
Manin05g007010.1	IPR005202	Transcription factor GRAS
Manin05g007010.1	IPR021914	Transcriptional factor DELLA, N-terminal
Manin05g007020.1	IPR004853	Sugar phosphate transporter domain
Manin05g007030.1	IPR013601	FAE1/Type III polyketide synthase-like protein
Manin05g007030.1	IPR013747	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III, C-terminal
Manin05g007030.1	IPR016039	Thiolase-like
Manin05g007030.1	IPR018790	Protein of unknown function DUF2358
Manin05g007040.1	IPR007125	Histone H2A/H2B/H3
Manin05g007040.1	IPR009072	Histone-fold
Manin05g007040.1	IPR032454	Histone H2A, C-terminal domain
Manin05g007050.1	IPR001680	WD40 repeat
Manin05g007050.1	IPR036322	WD40-repeat-containing domain superfamily
Manin05g007060.1	IPR003959	ATPase, AAA-type, core
Manin05g007060.1	IPR005937	26S proteasome regulatory subunit P45-like
Manin05g007060.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin05g007060.1	IPR032501	Proteasomal ATPase OB C-terminal domain
Manin05g007060.1	IPR041569	AAA ATPase, AAA+ lid domain
Manin05g007070.1	IPR007112	Expansin/pollen allergen, DPBB domain
Manin05g007070.1	IPR009009	RlpA-like protein, double-psi beta-barrel domain
Manin05g007070.1	IPR036908	RlpA-like domain superfamily
Manin05g007080.1	IPR000595	Cyclic nucleotide-binding domain
Manin05g007080.1	IPR002110	Ankyrin repeat
Manin05g007080.1	IPR005821	Ion transport domain
Manin05g007080.1	IPR018490	Cyclic nucleotide-binding-like
Manin05g007080.1	IPR021789	KHA domain
Manin05g007080.1	IPR036770	Ankyrin repeat-containing domain superfamily
Manin05g007110.1	IPR001806	Small GTPase
Manin05g007110.1	IPR002041	Ran GTPase
Manin05g007110.1	IPR005225	Small GTP-binding protein domain
Manin05g007110.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin05g007120.1	IPR001128	Cytochrome P450
Manin05g007120.1	IPR036396	Cytochrome P450 superfamily
Manin05g007130.1	IPR005491	ENT domain
Manin05g007130.1	IPR008395	Agenet-like domain
Manin05g007130.1	IPR036142	ENT domain-like superfamily
Manin05g007140.1	IPR025799	Protein arginine N-methyltransferase
Manin05g007140.1	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
Manin05g007150.1	IPR003140	Phospholipase/carboxylesterase/thioesterase
Manin05g007150.1	IPR029058	Alpha/Beta hydrolase fold
Manin05g007150.2	IPR003140	Phospholipase/carboxylesterase/thioesterase
Manin05g007150.2	IPR029058	Alpha/Beta hydrolase fold
Manin05g007160.1	IPR008580	PPPDE peptidase domain
Manin05g007170.1	IPR004038	Ribosomal protein L7Ae/L30e/S12e/Gadd45
Manin05g007170.1	IPR012866	Protein of unknown function DUF1644
Manin05g007170.1	IPR029064	50S ribosomal protein L30e-like
Manin05g007180.1	IPR036410	Heat shock protein DnaJ, cysteine-rich domain superfamily
Manin05g007190.1	IPR001623	DnaJ domain
Manin05g007190.1	IPR015399	Domain of unknown function DUF1977, DnaJ-like
Manin05g007190.1	IPR036869	Chaperone J-domain superfamily
Manin05g007200.1	IPR007023	Ribosomal biogenesis regulatory protein
Manin05g007220.1	IPR001810	F-box domain
Manin05g007220.1	IPR006652	Kelch repeat type 1
Manin05g007220.1	IPR015915	Kelch-type beta propeller
Manin05g007220.1	IPR036047	F-box-like domain superfamily
Manin05g007230.1	IPR011009	Protein kinase-like domain superfamily
Manin05g007240.1	IPR002775	DNA/RNA-binding protein Alba-like
Manin05g007240.1	IPR036882	Alba-like domain superfamily
Manin05g007250.1	IPR004360	Glyoxalase/fosfomycin resistance/dioxygenase domain
Manin05g007250.1	IPR029068	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase
Manin05g007250.1	IPR037523	Vicinal oxygen chelate (VOC) domain
Manin05g007260.1	IPR001372	Dynein light chain, type 1/2
Manin05g007260.1	IPR037177	Dynein light chain superfamily
Manin05g007270.1	IPR000086	NUDIX hydrolase domain
Manin05g007270.1	IPR000571	Zinc finger, CCCH-type
Manin05g007270.1	IPR015375	NADH pyrophosphatase-like, N-terminal
Manin05g007270.1	IPR015797	NUDIX hydrolase-like domain superfamily
Manin05g007270.1	IPR031421	Protein of unknown function DUF4666
Manin05g007270.1	IPR036855	Zinc finger, CCCH-type superfamily
Manin05g007280.1	IPR000571	Zinc finger, CCCH-type
Manin05g007280.1	IPR036855	Zinc finger, CCCH-type superfamily
Manin05g007280.1	IPR041367	E3 ligase, CCCH-type zinc finger
Manin05g007290.1	IPR001876	Zinc finger, RanBP2-type
Manin05g007290.1	IPR036443	Zinc finger, RanBP2-type superfamily
Manin05g007300.1	IPR002885	Pentatricopeptide repeat
Manin05g007310.1	IPR005050	Early nodulin 93 ENOD93 protein
Manin05g007320.1	IPR000719	Protein kinase domain
Manin05g007320.1	IPR011009	Protein kinase-like domain superfamily
Manin05g007330.1	IPR003406	Glycosyl transferase, family 14
Manin05g007340.1	IPR021827	Nucleoporin Nup186/Nup192/Nup205
Manin05g007350.1	IPR006342	Methyltransferase FkbM
Manin05g007350.1	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
Manin05g007350.2	IPR006342	Methyltransferase FkbM
Manin05g007350.2	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
Manin05g007360.1	IPR036410	Heat shock protein DnaJ, cysteine-rich domain superfamily
Manin05g007360.2	IPR036410	Heat shock protein DnaJ, cysteine-rich domain superfamily
Manin05g007370.1	IPR002016	Haem peroxidase
Manin05g007390.1	IPR002016	Haem peroxidase
Manin05g007390.1	IPR010255	Haem peroxidase superfamily
Manin05g007390.1	IPR016053	Haem oxygenase-like
Manin05g007390.1	IPR016084	Haem oxygenase-like, multi-helical
Manin05g007400.1	IPR002016	Haem peroxidase
Manin05g007400.1	IPR010255	Haem peroxidase superfamily
Manin05g007410.1	IPR004331	SPX domain
Manin05g007420.1	IPR001471	AP2/ERF domain
Manin05g007420.1	IPR016177	DNA-binding domain superfamily
Manin05g007430.1	IPR000008	C2 domain
Manin05g007430.1	IPR000195	Rab-GTPase-TBC domain
Manin05g007430.1	IPR001736	Phospholipase D/Transphosphatidylase
Manin05g007430.1	IPR024632	Phospholipase D, C-terminal
Manin05g007430.1	IPR025202	Phospholipase D-like domain
Manin05g007430.1	IPR035892	C2 domain superfamily
Manin05g007430.1	IPR035969	Rab-GTPase-TBC domain superfamily
Manin05g007450.1	IPR000473	Ribosomal protein L36
Manin05g007450.1	IPR025124	Domain of unknown function DUF4050
Manin05g007450.1	IPR035977	Ribosomal protein L36 superfamily
Manin05g007460.1	IPR001611	Leucine-rich repeat
Manin05g007460.1	IPR001810	F-box domain
Manin05g007460.1	IPR036047	F-box-like domain superfamily
Manin05g007480.1	IPR000719	Protein kinase domain
Manin05g007480.1	IPR004041	NAF domain
Manin05g007480.1	IPR011009	Protein kinase-like domain superfamily
Manin05g007480.1	IPR018451	NAF/FISL domain
Manin05g007490.1	IPR011990	Tetratricopeptide-like helical domain superfamily
Manin05g007500.1	IPR002259	Equilibrative nucleoside transporter
Manin05g007500.1	IPR036259	MFS transporter superfamily
Manin05g007510.1	IPR027329	TPX2, C-terminal
Manin05g007520.1	IPR014746	Glutamine synthetase/guanido kinase, catalytic domain
Manin05g007520.1	IPR036651	Glutamine synthetase, N-terminal domain superfamily
Manin05g007540.1	IPR006780	YABBY protein
Manin05g007540.1	IPR036910	High mobility group box domain superfamily
Manin05g007550.1	IPR001739	Methyl-CpG DNA binding
Manin05g007550.1	IPR016177	DNA-binding domain superfamily
Manin05g007570.1	IPR000490	Glycoside hydrolase family 17
Manin05g007570.1	IPR017853	Glycoside hydrolase superfamily
Manin05g007580.1	IPR003245	Phytocyanin domain
Manin05g007580.1	IPR008972	Cupredoxin
Manin05g007600.1	IPR004000	Actin family
Manin05g007600.1	IPR043129	ATPase, nucleotide binding domain
Manin05g007610.1	IPR008942	ENTH/VHS
Manin05g007610.1	IPR011417	AP180 N-terminal homology (ANTH) domain
Manin05g007610.1	IPR013809	ENTH  domain
Manin05g007620.1	IPR001607	Zinc finger, UBP-type
Manin05g007620.1	IPR001841	Zinc finger, RING-type
Manin05g007620.1	IPR011422	BRCA1-associated 2
Manin05g007630.1	IPR001680	WD40 repeat
Manin05g007630.1	IPR006594	LIS1 homology motif
Manin05g007630.1	IPR006595	CTLH, C-terminal LisH motif
Manin05g007630.1	IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily
Manin05g007630.1	IPR036322	WD40-repeat-containing domain superfamily
Manin05g007630.2	IPR001680	WD40 repeat
Manin05g007630.2	IPR006594	LIS1 homology motif
Manin05g007630.2	IPR006595	CTLH, C-terminal LisH motif
